"Taxonomy","Sample","Individual","SampleTime","Value"
"Unclassified","03_B","03","S2",10.9005718510176
"Unclassified","03_C","03","S3",13.3398447868329
"Unclassified","04_A","04","S1",14.6100153525223
"Unclassified","04_B","04","S2",14.2688081014303
"Unclassified","04_C","04","S3",13.544602897709
"Unclassified","05_A","05","S1",11.1765046640289
"Unclassified","05_B","05","S2",11.6692533270468
"Unclassified","06_A","06","S1",12.7873490504543
"Unclassified","07_A","07","S1",12.5120979071309
"Unclassified","07_B","07","S2",9.29274915387946
"Unclassified","08_A","08","S1",15.0981994042256
"Unclassified","08_B","08","S2",13.325112241512
"Unclassified","09_A","09","S1",14.3528383034909
"Unclassified","10_A","10","S1",16.521748228535
"Unclassified","10_B","10","S2",15.0868590166047
