Sample	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
1CMET2-PWY: folate transformations III (E. coli)|g__Hungatella.s__Hungatella_hathewayi	0	0	0	1.02995	0	1.12881	0	1.20228	0.9778	2.86594	0	0	0	5.61995	2.59421	2.08381	3.8348	1.89612	0	3.0886	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0.991459	0	0	0	0	1.2285	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Odoribacter.s__Odoribacter_laneus	0	0	0	2.89389	5.39312	44.3518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0.813849	0	0	0	0	1.26947	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_distasonis	13.9612	3.88295	0.968602	20.1987	0	6.46875	0	0	0	0	0	20.0713	0.930214	27.3459	0	0	14.5337	21.9472	6.88331	2.08981	8.01677	7.09859
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08642	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	8.22296	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_faecis	0	0	0	0	5.31355	0	0	0	0	0	0	0	14.4538	0	0	0	0	0	0	0	19.7156	6.74961
1CMET2-PWY: folate transformations III (E. coli)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	3.68167	0	5.71817	7.23367	0	9.7456	0	0	0	0	0	4.65413	18.599	0	0	0	4.53945	1.44125	5.50032	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	104.365	134.262	101.107	83.9314	51.3881	52.0278	88.8899	107.378	89.6223	111.634	55.9208	52.1143	131.461	156.561	101.064	79.5172	111.79	133.045	131.079	188.5	74.7597	82.3441
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	58.3943	0	5.90265	0	51.9932	0.644424	0	0.330655	0	0	39.232	0.857731	0.356657	3.84926	0	0.218994	0	0.490609	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0	0	56.0787	0	3.49784	0	49.4378	0	0	0	0	0	0	0	0	3.30715	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	39.1897	0.854885	0.127388	0	0	0.218994	0	0.490609	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	9.28162	0	0	0	0	0	0	0	0	0	0	0	0.389976	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0.257694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	4.00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	3.76685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389976	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	2.28229	0	0	6.60983	1.89522	1.26367	0	0	0	0	3.24141	0	0	0	2.28343	0	7.42858	3.71335	0	0.407876
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	0	0	0	0	0	0	0	1.1003	0	0	0	0	3.23762	0	0	0	1.81251	0	5.67226	3.05193	0	0.280223
ANAEROFRUCAT-PWY: homolactic fermentation	257.755	309.977	343.475	218.447	118.97	228.371	300.615	253.839	268.869	180.408	149.553	157.078	275.65	267.467	200.625	221.38	182.41	226.164	225.566	182.104	185.142	163.495
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	139.124	0	0	0	112.866	0	0	4.92522	0	0	0	0	0	9.39209	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	0	0	0	0	0	0.246261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	78.8652	98.1467	54.795	38.4262	33.3512	56.3609	51.2212	106.27	122.226	44.7591	29.27	10.9299	128.674	113.704	50.1332	42.2866	67.8305	71.6245	105.849	129.673	42.6758	42.204
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	445.476	407.249	431.97	352.883	549.768	390.825	399.635	431.89	463.995	482.004	331.512	516.277	442.958	408.805	536.606	537.036	504.148	387.608	409.422	409.733	465.55	488.461
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661935
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	19.9321	0	4.18231	0	0	21.2675	0	63.3528	9.19877	0	37.4954	34.5249	72.5999	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	1.34771	0	0	0	0	0	0	0	0	0	1.00431	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0.212262	0	1.60356	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis	0	0	3.87145	0	0	4.59315	3.38651	0	0	1.27855	0	0.415612	0	0	0	0.780362	10.6633	0	0	0.995526	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_hydrogenotrophica	0	0	0	4.26654	0	0	0	0	2.05342	1.11572	13.8491	0	0	0	0	0	0	4.14112	4.9606	1.83623	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_obeum	0	0	0	0	2.22567	3.44691	7.68244	0	0	4.30395	0	0	2.74538	0	5.01788	3.89236	1.03448	0	0	0	7.12102	12.4353
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_producta	10.0963	0	0	0	0	0	0	0	19.0293	2.74709	8.9938	3.19182	0	0	2.69673	12.0643	4.24201	0	0	10.6051	0	0.27855
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_wexlerae	0	0	0	0	37.0864	0	6.69185	2.22437	0	2.21462	0	12.8177	5.72654	0	2.0765	7.79115	8.92668	0	0	0	0.558028	0.830788
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	1.84382	0	0	0	0	1.26708	5.72521	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Ruminococcus_torques	53.2717	0	19.0709	0	76.4352	3.07672	8.08347	16.5356	48.6341	23.443	0	17.4142	11.6763	0	22.786	22.5694	8.68002	0	17.9681	7.40684	29.3773	47.5787
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	0	0	0	0	0	0	0	0	0.225182	0	0	0	0	0	0	1.04295	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_disporicum	0	0	0	0	0	9.80758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	5.22143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Collinsella.s__Collinsella_aerofaciens	0	0	0	0	53.7615	14.9157	12.9515	34.3719	0	0	0	0	4.29384	0	47.3849	51.9348	0	0	0	0	4.73056	11.6583
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Coprococcus.s__Coprococcus_comes	0	0	0	0	0	0	0	0	0	0	0	1.97969	1.35094	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Dorea.s__Dorea_longicatena	0	0	0	0	0	0	0	0	0	0	0	0	5.63674	0	0.555184	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	0	2.55171	1.02954	0	0	0	0	1.17808	0	0	0	1.00905	0	0.306891	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	0	200.919	0	16.3451	0	158.755	0	0	6.45825	0	0	0	0	0.388107	14.9768	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Eubacterium.s__Eubacterium_callanderi	2.89033	6.86009	0	4.07604	0	0	0.395779	5.54163	1.862	0	0	0	0	0	1.05429	0	0	1.53378	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Eubacterium.s__Eubacterium_eligens	0	0	0	0	0	0	0	0	0	0	0	4.49051	5.63611	0	0	0	0	0	0	0	10.3714	5.40354
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.69846	7.20447
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Flavonifractor.s__Flavonifractor_plautii	6.80472	0	0	0	0	0	0	1.94647	3.03719	5.50621	0	1.82845	0	1.85085	0	17.374	0.609259	2.80933	3.96303	0.728907	2.59506	1.80378
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0	0	0	0	0	0	0	0	0	8.20338	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Hungatella.s__Hungatella_hathewayi	1.52678	0	0	1.90078	0	3.09071	0	6.9835	2.46771	4.31779	12.5389	1.88915	0.128634	8.56808	3.87414	2.42525	9.90314	4.25941	1.29392	7.26584	0	0.159745
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lachnoclostridium.s__Clostridium_aldenense	0.863473	0	0	0	0	0	0	0.205851	0.397736	0	0	0	0	0	0	0	0	1.03062	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lachnoclostridium.s__Clostridium_clostridioforme	22.2292	0	0	0	0	0	0	0.301672	14.2184	7.72653	0	0.259057	0	0	2.52497	0	0	1.37026	0.364398	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	0	0	0	56.8644	1.29319	0.611191	0	0	7.49071	0	4.41416	2.16525	0	6.42325	0.926213	0.333911	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_distasonis	18.4176	5.73879	1.38759	24.8385	0	8.53397	0	0	0	0	3.57486	25.3778	1.24633	34.8811	0	0	18.5216	26.4482	8.69996	2.84056	10.8554	9.33964
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0.412212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_faecis	0	0	0	0	5.52037	0	0	0	0	0	0	0	17.5431	0	0	0	0	0	0	0	22.4346	7.56885
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	0	0.316665	0	0	0	0	0.290154	0.518809	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292386
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	0	0	0	0	0	0.379612	0	0	0	0	0	0	0	0.145597	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	1.24252	0	0	0	0	0	0	0.72274	0.186956	0	0	1.46876	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0.51269	0	0	0	0	0	0	0.242941	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_thermophilus	0	0	0	0	0	0	5.52831	0	7.51308	0.664814	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_vestibularis	0	24.9808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	122.775	193.764	147.234	87.7767	73.4027	90.195	102.156	161.886	164.796	148.567	79.4766	73.7917	160.568	190.394	125.112	123.859	151.283	124.871	199.08	302.386	104.838	117.525
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	50.2795	16.5134	235.851	41.0535	110.218	79.2076	218.193	16.8479	43.6319	69.0292	0	32.0961	222	33.3135	35.3727	111.601	42.4837	22.0673	42.0808	33.2439	61.0281	71.3953
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	144.765	0	7.89674	0	118.933	0	0	3.72191	0	0	0	0	0	10.5745	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	22.3706	14.4637	25.4797	0	17.1212	5.98101	20.2759	7.72738	28.2808	10.867	0	3.73694	129.074	23.8491	19.0515	24.1992	17.941	12.4826	31.8016	27.6795	8.88612	6.95252
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0.914571	51.2282	0	5.41391	0	51.956	1.01227	0	5.00917	0	0	46.9421	1.9011	0	5.03367	0	0.802482	0	1.92615	0	0.346276
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	0	0	49.3216	0	3.30305	0	49.4379	0	0	2.07464	0	0	0	0	0	4.07609	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified"	0	0.862959	0	0	0	0	0	0.866951	0	0.900421	0	0	44.2935	1.84985	0	0	0	0.756076	0	1.83922	0	0.340993
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	140.752	75.9622	198.195	89.1311	17.5315	102.432	150.241	138.106	104.11	134.085	29.4511	70.7021	143.338	119.716	138.019	48.0298	61.4342	64.9299	116.197	25.0858	212.027	189.525
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	3.22923	0	0	0	0	0	0	0	0	6.12006	6.41463
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0.328267	0	5.55321	0	0	0	0	0	0	1.01323	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	6.24585	18.2992	26.6463	0	0	0	0	0	0	4.01404	0.0749956	0	0	0.612361	0.141638	0.237394
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis	0	0	2.22328	0	0	3.00109	1.07463	0	0	1.06173	0	0.334199	0	0	0	0.69748	7.98125	0	0	0.693189	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	15.0682	0	0	0	0	1.3587	0.764427	0.18529	0	0	0	3.53255	0	10.5547	0.524997	9.71496	9.30538
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0.45579	38.3303	7.20356	0	0	0	1.82415	0	20.5276	0	0	0	0	0	36.4213	26.802
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14884	0	2.50827	2.67907
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	67.2675	23.9472	17.2097	13.3889	1.71734	46.4631	20.1226	14.9864	20.1929	29.606	4.10389	12.0314	20.9168	18.7226	32.0585	15.6097	8.24456	10.1458	51.9247	9.2874	28.3699	15.253
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	1.25494	4.26675	0	0	0	27.7758	7.04983	11.737	13.7706	0	8.22223	0.0447769	9.53887	0	7.32456	0	54.1848	64.9399
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	3.9887	15.2918	0	0	0	0	0	0	0	7.39003	6.46916
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	132.774	0	4.96364	0.389961	97.275	0	0	4.60795	0	0	0	0	0	9.20836	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	13.9556	3.90171	0.908668	18.6061	0	6.4197	0	0	0	0	2.56798	20.5223	0.655072	26.4565	0	0	14.3124	23.1901	6.02626	1.85584	7.97068	6.58033
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	35.9782	27.0642	25.0454	4.11337	3.0885	1.2601	12.4388	20.544	21.9969	10.556	0	2.50727	100.824	38.4331	16.0551	4.88453	4.45355	10.7427	7.69393	4.49894	1.16739	1.0539
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	339.575	406.002	350.654	288.527	482.094	353.62	345.291	398.413	417.308	429.798	358.563	463.458	393.301	339.827	483.974	544.62	451.387	317.538	340.919	571.897	450.672	478.009
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	1.10864	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	48.9991	3.05581	8.32264	0.495724	3.97098	11.1661	0	1.09146	0	9.21698	5.48556	0.536103	0	22.7293	0	3.66976	3.93444
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21906	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerostipes.s__Anaerostipes_caccae	8.3468	13.8013	0	3.77927	0	0	0	0	0	0	0	0	0	0	0	0	0	5.58631	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	12.0048	0	2.54058	0	0	13.1958	0	37.6334	5.59115	0	22.1952	20.5163	42.0493	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0.198657	0	0	0	0	0	0	0	3.01941	2.91914
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_dentium	0	0	0.37256	0	0	4.18577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
